#,#
% of total,Жами %
(no name),(исмсиз)
Advance recorded (draft).,Аванс қайд этилди (қоралама).
Advance recorded and posted.,Аванс қайд этилди ва проводка қилинди.
Advance Reserved,Захирадаги аванс
Advance reserved for this CI,Ушбу CI учун захираланган аванс
Advance sent for approval.,Аванс тасдиққа юборилди.
Advance status →,Аванс ҳолати →
Advance summary,Аванслар хулосаси
Advance Terms,Аванс шартлари
Advanced (API endpoints),
Advances,Аванслар
Advances at risk,Хавф остидаги аванслар
Advances outstanding,
Against,Қарши
against,
Against contract,Шартномага нисбатан
Age,Муддат
Aging,Муддат тақсимоти
Agreed,Келишилган
Agreed (true),Келишилган (ҳақиқий)
Agreed / docs,Келишилган / ҳужжатлар
Agreed / gap,Келишилган / фарқ
Agreed amount,Келишилган сумма
Agreed now,Ҳозирги келишув
Agreed price,Келишилган нарх
Agreed Price,Келишилган нарх
Agreed price differs from PI ({prices}),Келишилган нарх ПИ дан фарқ қилади ({prices})
Agreed price is matched against PI line key (PI + category); key can carry multiple prices — matching any is compliant (tolerance 0.005).,"Келишилган нарх проформа қатори калити (проформа + тоифа) бўйича солиштирилади; калитда бир нечта нарх бўлиши мумкин — уларнинг исталганига мос келиши мувофиқ ҳисобланади (чегара 0,005)."
Agreed rate,Келишилган нарх
Agreed Total,Келишилган сумма
Agreed total,Келишилган сумма
Agreed Transport Cost,Келишилган Ташиш Нархи
Agreed-price mismatches,Келишилган нарх мос келмаслиги
Agreement,Шартнома
Agreement (PI),Келишув (PI)
Agreement management is not enabled for {0}.,{0} учун шартнома бошқаруви ёқилмаган.
Agreement {0} belongs to another customer.,{0} шартномаси бошқа мижозга тегишли.
ahead of the invoice,инвойсдан олдинда
Alerts,
All,Ҳамма
All attendance exceptions have been resolved or ignored.,
All categories,Барча категориялар
All companies,Барча компаниялар
All computed allocation amounts were zero.,
All cost centres,
All coverage,Барча қамров
All current production runs are fully staged or inactive.,
All customers,
All departments,Барча бўлимлар
All devices,
All directions,Барча йўналишлар
All documents,Барча ҳужжатлар
All expenses are billed.,Барча харажатлар ҳисобланган.
All fiscal years,
All groups,Барча гуруҳлар
All Groups,Барча гуруҳлар
All invoices are settled as of {date}.,Барча ҳисоб-фактураллар {date} дан тўланди.
All item groups,
All items,
All items above reorder level.,Барча товарлар тўлдириш даражасидан юқори.
All items are above their warehouse reorder thresholds — nice work.,Барча товарлар омбор қайта буюртма босогиларидан юқори — ишни яхши қилдиңиз.
All items in this view are up to date.,Бу кўринишдаги ҳамма нарса долзарб.
All levels,Барча даражалар
All object types,Барча объект туралари
All PI groups,Барча PI гуруҳлари
All PI Groups,Барча PI гуруҳлар
All PI links,Барча ПИ боғланишлари
All promo plans,Барча рекламалаш режалари
All records,Барча ёзувлар
All Reports,Барча ҳисоботлар
all reservable,ҳаммаси резерв қилинади
All sales invoices for this company are fully paid.,Бу компания учун барча сотув ҳисоб-фактуралари то'лиқ тўланди.
All service people,Барча техниклар
All statuses,Барча ҳолатлар
All suppliers,Барча етказиб берувчилар
All technicians,Барча техниклар
All tenders,Барча тендерлар
All territories,Барча ҳудудлар
All three accounts are required.,Учта ҳисоб мажбурий.
All time,
All Transporters,Барча Ташувчилар
All types,Барча турлари
All variance,Барча оғишлар
All vendors,Барча етказиб берувчилар
All vouchers,Барча ҳужжатлар
All warehouses,Барча омборлар
All {0} employee summaries are clean — no unresolved exceptions.,
Allocate against,Қарши ажратиш
Allocate boxes,Қутиларни тақсимлаш
Allocated,Ажратилган
Allocated (kg),Тақсимланган (кг)
Allocated against,Қарши ажратилган
Allocated amount,Тақсимланган сумма
Allocated amount must be greater than zero.,
Allocated costs (UZS/kg),Тақсимланган харажатлар (UZS/кг)
Allocated costs come from this invoice's container cost lines and recorded import expenses — the columns are empty until those exist.,Тақсимланган харажатлар шу инвойснинг контейнер харажат қаторлари ва қайд этилган импорт харажатларидан олинади — улар пайдо бўлмагунча устунлар бўш бўлади.
Allocated Deposit Amount,Тақсимланган депозит суммаси
Allocated on PI,PI бўйича тақсимланган
Allocation,Тақсимот
Allocation amounts must be greater than zero.,Тақсимот суммалари нолдан катта бўлиши керак.
Allocation exceeds the unreconciled amount on this transaction.,
Allocation preview,
Allow stale exchange rates,
Allowance name,
Allowances,
Allowances are hidden — payroll access required.,
Allowed users,Рухсат этилган фойдаланувчилар
Already accrued for this month.,Бу ой учун аллақачон таҳаккук қилинган.
Already shipped as,Аллақачон қуйидагича жўнатилган
Already Transferred,
Also delete the linked records,Боғланган ёзувларни ҳам ўчириш
Ambiguous,Ноаниқ
ambiguous,ноаниқ
AMC,Йиллик хизмат шартномаси
Amend,Тўзатиш
Amend (new draft),Тузатиш (янги қоралама)
Amend expense,
Amend failed.,Тўзатиш мувафаққиятсиз.
Amend of,Тўзатиш
Amend transfer,
Amending,Тузатиш
Amendment created.,
Amount,Сумма
Amount & Payment,Сумма ва тўлов
Amount (UZS),
Amount exceeds outstanding ({amount}).,Сумма қолган {amount} дан ошди.
Amount exceeds the available balance.,Маблағ мавжуд қолдиқдан ошди.
Amount in {0},
Amount must be greater than zero.,Сумма нолдан кўп бўлиши керак.
Amount must be positive.,Сумма мусбат бўлиши керак.
Amount paid,Тўланган сумма
Amount received,Қабул қилинган сумма
Amount sent,Юборилган сумма
Amount to transfer,Ўтказма суммаси
Amounts,Суммалар
Amounts in,Суммалар
Amounts in company currency,Суммалар компания валютасида
An allocated invoice does not belong to this customer chain.,Тақсимланаётган ҳисоб-фактура ушбу мижозлар занжирига тегишли эмас.
An allocation exceeds the invoice's outstanding amount.,Тақсимот ҳисоб-фактуранинг қолдиқ суммасидан ошиб кетди.
An expense category is required.,Харажат туркуми талаб қилинади.
Analytics,Таҳлил
Anchor DAY hours (h),
Anchor LIGHT hours (h),
Anchor NIGHT hours (h),
Anchor OFFICE hours (h),
Animated,Анимацияли
Aniqlangan,Аниқланган
Answered,Жавоб берилди
Any,Ҳар қандай
Any vendor,Ҳар қандай етказиб берувчи
AP Aging,Қарзларни уйта қўйиш (Supplier)
API base URL,
Applied,
Applied corrections are locked. Cannot change: {0},
Applied to,Қўлланилди
Apply,Қўллаш
Apply role template,Ролл шаблонини қўллаш
approval assigned to you,тасдиқлаш сизга бириктирилган
Approval level {0} has not been completed yet.,
Approval request name is required.,
Approval required,Тасдиқ талаб қилинади
Approval requires Director view,Тасдиқлаш учун Директор кўриниши талаб қилинади
Approvals,Тасдиқлашлар
Approve,Маъқуллаш
Approve & post,Тасдиқлаш ва киритиш
Approve and post,Тасдиқлаш ва киритиш
Approve and submit,Тасдиқлаш ва ўтказиш
Approve correction,
Approve decision,Қарорни тасдиқлаш
Approve Leave?,
Approve level {0},
Approve payments,Тўловларни тасдиқлаш
Approve this correction request? The change will be queued for payroll.,
Approve this leave request?,Таътил аризасини тасдиқлайсизми?
Approved,Тасдиқланган
Approved and posted.,Тасдиқланди ва киритилди.
Approved at,Тасдиқланган вақти
Approved by,Тасдиқлади
Approx. at current valuation rate,"Тах., жорий таннархида"
APR,ТСД
AR Aging,Қарзларни уйта қўйиш (Customer)
ARCA,ARCA
ARCA Payment Events,ARCA Тўлов воқеалари
Are you sure you want to cancel this document? This action is irreversible.,
Are you sure you want to delete this draft? This cannot be undone.,
Are you sure you want to submit this document? This will finalize transactions.,
Arrival,Келиш
Arrival date,Келиш санаси
Arrival time,Келиш вақти
ARRIVED,Етиб келди
ARRIVED_AT_IRAN,Эронга етиб келди
Artifacts,Артефактлар
As of,Мавжуди
Asl Belgisi,Асл Белгиси
Asl Belgisi Code,Аслий белги коди
Asl Belgisi — Stock Entries pending scan,Аслий белги — сканлаш кутиб турган сток ёзувлари
Asset,Актив
Asset lines,Актив сатрлари
Asset purchase,Актив харид
Asset Tag,Активлар теги
Asset Tag and Category are required.,Активлар теги ва категорияси талаб қилинади.
Assets,Активлар
Assign operator,Оператор тайинлаш
Assign PIs,PI бириктириш
Assign PIs to,PI бириктириш:
Assign technician,Техникни белгилаш
Assign to sourcing,Харид бўлимига бириктириш
Assigned Field User,Назначен фойдаланувчи
Assigned Technician,Назначен техник
Assigned tenders,Бириктирилган тендерлар
Assigned to,Бириктирилган
Assigned.,Бириктирилди.
Assignment initializes document center,Бириктириш ҳужжат марказини ишга туширади
At Destination,Манзилда
at least 5 quotations from 2 countries,камида 2 мамлакатдан 5 таклиф
At least one counted item line is required.,
At least one item is required.,Камида битта позиция талаб қилинади.
At least one received item line is required.,Камида битта қабул қилинган товар қатори талаб қилинади.
At least one visit purpose is required.,
At least one voucher is required.,
At least two account lines are required.,Камида икки ҳисоб қатори талаб қилинади.
At risk,Хавф остида
at risk or expired,хавф остида ёки муддати ўтган
At the edge,Чегарада
At-risk,Хавф остида
AT_BORDER,Чегарада
ATA,ATA
Atama belge merkezini başlatır,Бириктириш ҳужжатлар марказини ишга туширади
ATD,ATD
Attach file,Fayl biriktiriw
Attach to this lot,Ушбу лотга бириктириш
Attached,Biriktirilgen
Attached files / Waiver,Бириктирилган файллар / Муафият
Attendance,Давомат
Attendance Dashboard,
Attendance edits are open — no hard lock set.,Давомат таҳрири очиқ — қаттиқ қулф ўрнатилмаган.
Attendance exceptions,Давомат истиснолари
Attendance on/before,Давомат шу санагача
Attendance Rule Sets,
Attendance Simulator,
Attendance summary,Давомат хулосаси
Attendance today,
Attribute to,Боғлаш объекти
Auction,Ауксион
Audit Trail,Ўзгаришлар тарихи
Audit trail,Ўзгаришлар тарихи
Audited At,Текширилган
Authentication required.,
Authority,Орган
Auto-filled {count} remaining item lines from Proforma Invoice {ref},{ref} проформасидан қолган {count} та қатор автоматик тўлдирилди
avail,мавж.
AVAILABLE,Мавжуд
Available,Мавжуд
available,мавжуд
Available to Apply,Ҳисобга олиш учун мавжуд
average across tenders that have pricing,нархи ҳисобланган тендерлар ўртачаси
Average wait,Ўртача кутиш
average wait past the tenant's threshold,ўртача кутиш ижарачи чегарасидан ошди
Average wait · SLA,Ўртача кутиш · SLA
Avg margin,Ўртача маржа
Avg orders / customer,Мижозга буюртмалар
Avg time to first order,Биринчи буюртмагача вақт
Awaiting delivery,Етказиб бериш кутилмоқда
Awaiting level {0},
Awaiting my approval,Менинг тасдиқлашимда
Awaiting release by manager,Менежер рухсатини кутмоқда
Awaiting Result,Натижа кутилмоқда
awaiting result,натижа кутилмоқда
Award winner,Ғолиб етказиб берувчи
B/L number,Коносамент рақами
B/L type,Коносамент тури
Back,Орқага
Back to all tenders,Барча тендерларга қайтиш
Back to dashboard,Бошқарувга қайтиш
Back to list,Рўйхатга қайтиш
Back to PI selection,ПИ танлашга қайтиш
Back to summary,
Back up now,Ҳозир захиралаш
Back up with files,Файллар билан захиралаш
Backdated postings are frozen before {0}.,
Backup & DR,Захира ва тиклаш
Backup created.,Захира нусха яратилди.
Backup file not found: {0},
Backup set,Захира тўплами
Badge,Белги
Badge Timeline,
Badge UID is required.,
Bal,Қолдиқ
Balance,Баланс
Balance (Account Currency),Баланс (Ҳисоб валютаси)
Balance Due,Тўланиши Керак
Balance Due Amount,Тўланадиган қолдиқ сумма
Balanced,Баланс муштаси
"Balances, advances and payments appear here.",
"Balances, salaries, advances and payments appear here.","Бу ерда баланслар, ойликлар, аванслар ва тўловлар кўринади."
Bank,Банк
Bank / transfer,Банк / ўтказма
Bank account,Банк ҳисоби
Bank Account '{0}' not found.,
Bank account does not belong to company '{0}'.,
Bank account has no linked GL account.,
Bank Agreed,Банк (келишилган)
Bank Agreed + Cash Agreed must equal Agreed Total.,Банк + нақд (келишилган) жами келишилган суммага тенг бўлиши керак.
Bank amount,Банк суммаси
Bank and cash amounts are not equal — recorded as entered.,
Bank due,Банк бўйича тўлов
Bank paid,Банк орқали тўланди
Bank Payment,Банк тўлови
Bank payment,Банк тўлови
Bank transaction is required.,
Bank transaction not found.,
Bank/cash account is required.,Банк/касса ҳисоби талаб қилинади.
Bar is relative to the busiest queue,Чизиқ энг банд навбатга нисбатан
bar: share of lots that satisfy the 5-quote rule,чизиқ: 5 таклиф қоидасига жавоб берадиган лотлар улуши
Base,Асос
Base currency,Асосий валюта
Base equivalent,Асосий эквивалент
Base salary,
Base salary (UZS),
Base salary = 0,Асосий ойлик = 0
Base total,Базавий жами
Basic rate,Асосий нарх
Batch,Партия
Batch / lot,Партия / лот
Batch Expiry,Партия муддати
Batch expiry,Партия яроқлилик муддати
Batch manufacture date,Партия ишлаб чиқарилган сана
Batch number is required.,Партия рақами талаб қилинади.
Batch tracking is not enabled.,Партияни кузатиш ёқилмаган.
Batches expiring within {0} days are flagged. Value at item valuation rate.,{0} кун ичида муддати тугайдиган партиялар белгиланган. Қиймат товар баҳолаш нархида.
Before → Requested,
below policy,сиёсатдан паст
Berry,
Bid deadline,Таклиф муддати
bid deadline within 48 hours or already passed,таклиф муддати 48 соат ичида ёки ўтиб кетган
Bid package ready,Ариза пакети тайёр
Bid Preparation,Ариза тайёрлаш
Bid price (Договор),Таклиф нархи (Договор)
"Bid price (Договор, VAT incl.)","Таклиф нархи (Договор, ҚҚС билан)"
Bid Pricing,Нарх ҳисоблаш
Bid pricing,Нарх белгилаш
Bid pricing saved.,Нарх режаси сақланди.
Bid rate,Таклиф курси
Bid submitted,Таклиф топширилди
Bid Value,Таклиф суммаси
Bid · delivery · due,Таклиф · етказиб бериш · муддат
Bidding,Таклиф топшириш
Bill,Ҳисоб
Bill #,Ҳисоб #
Bill / invoice number printed on supplier document,Сатувчи хужжатида чоп этилган ҳисоб / инвойс рақами
Bill Date,
Bill date,Ҳисоб саны
Bill No.,
Bill number or supplier…,
Bill or supplier… ⌘K,Ҳисоб-фактура ёки етказиб берувчи… ⌘K
Bill {0},Ҳисоб-фактура {0}
Billed,Ҳисоб оқилди
Billed amt,
Billed goods,Ҳисобланган маҳсулот
Billing,Ҳисоб-фактура
Bills,Ҳисоблар
Bills you can attach,Бириктириш мумкин бўлган ҳисоблар
Bimonthly,Икки ҳафтада бир
BL Type,Коносамент тури
blocker(s),
Board,Доска
BOM,Спецификация
BOM cancelled successfully.,
BOM materials,BOM материаллари
BOM plan,BOM режаси
BOM submitted successfully.,
BOMs,Спецификациялар
Bonus,Бонус
Book cross-border land freight for a commercial invoice or container.,Тижорат инвойси ёки контейнер учун чегаралараро қуруқлик юкини брон қилинг.
Book rate,
BOOKED,Банд қилинган
Booked,Буюртма қилинган
"Booked value from Sales Orders, with amounts still to deliver and to bill.","Сотув буюртмаларидан банд қилинган сумма, етказиб бериш ва ҳисоб-фактура қилиш учун қолган суммалар билан."
Booking,Банд қилиш / Олиш
Booking created.,Брон яратилди.
Booking Date,Брон санаси
Booking date,Брон санаси
Booking Reference,Брон ҳаволаси
Booking reference,Брон ҳаволаси
Booking saved.,Брон сақланди.
"Booking, transporter or vehicle… ⌘K","Брон, ташувчи ёки транспорт… ⌘K"
Books Dr Salary Expense / Cr Salary Payable as a draft — submit it from the ledger to post.,Қоралама ёзади: Дт Ойлик харажати / Кт Ойлик тўланадиган — дафтардан тасдиқланг.
Books each locked employee's net as a payable (Dr salary expense / Cr salary payable). Idempotent — runs once per period.,Ҳар бир қулфланган ходимнинг соф ойлигини мажбуриятга ёзади (Дт ойлик харажати / Кт тўланадиган ойлик). Идемпотент — ҳар даврда бир марта.
Books locked nets to salary payable.,Соф ойликларни тўланадиган ойликка ёзади.
Border Crossed,Чегара кесиб ўтилди
Border Crossing,Чегара кесиб ўтиш
Border crossing,Чегарани кесиб ўтиш
Border Crossing Date,Чегара кесиб ўтиш санаси
Bottleneck,Тор жой
Bottleneck: {step},Тор жой: {step}
Box (kg),Қути (кг)
Box Kg,Қути кг
Box kg,Қути кг
